IDWD Research and Analysis,,,,,,,,,,
,,,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,,,
,,,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Disclosure Code,Pct. Change from Same,Disclosure Code
,,,,,,,,,Week Last Year,
"Adams County, IN",18,1,2020,January,1,1,20,,,
"Adams County, IN",18,1,2020,January,1,2,16,,23.10%,
"Adams County, IN",18,1,2020,January,1,3,,(D),,(D)
"Adams County, IN",18,1,2020,January,1,4,10,,100.00%,
"Adams County, IN",18,1,2020,February,2,5,,(D),,(D)
"Adams County, IN",18,1,2020,February,2,6,10,,100.00%,
"Adams County, IN",18,1,2020,February,2,7,13,,100.00%,
"Adams County, IN",18,1,2020,February,2,8,49,,100.00%,
"Adams County, IN",18,1,2020,February,2,9,11,,10.00%,
"Adams County, IN",18,1,2020,March,3,10,,(D),,(D)
"Adams County, IN",18,1,2020,March,3,11,,(D),,(D)
"Adams County, IN",18,1,2020,March,3,12,156,,100.00%,
"Adams County, IN",18,1,2020,March,3,13,902,,100.00%,
"Adams County, IN",18,1,2020,April,4,14,968,,8700.00%,
"Adams County, IN",18,1,2020,April,4,15,403,,100.00%,
"Adams County, IN",18,1,2020,April,4,16,204,,100.00%,
"Adams County, IN",18,1,2020,April,4,17,145,,100.00%,
"Adams County, IN",18,1,2020,May,5,18,136,,100.00%,
"Adams County, IN",18,1,2020,May,5,19,83,,100.00%,
"Adams County, IN",18,1,2020,May,5,20,63,,472.70%,
"Adams County, IN",18,1,2020,May,5,21,72,,100.00%,
"Adams County, IN",18,1,2020,May,5,22,49,,100.00%,
"Allen County, IN",18,3,2020,January,1,1,198,,31.10%,
"Allen County, IN",18,3,2020,January,1,2,245,,39.20%,
"Allen County, IN",18,3,2020,January,1,3,251,,71.90%,
"Allen County, IN",18,3,2020,January,1,4,164,,31.20%,
"Allen County, IN",18,3,2020,February,2,5,137,,-8.70%,
"Allen County, IN",18,3,2020,February,2,6,156,,24.80%,
"Allen County, IN",18,3,2020,February,2,7,196,,66.10%,
"Allen County, IN",18,3,2020,February,2,8,424,,311.70%,
"Allen County, IN",18,3,2020,February,2,9,157,,80.50%,
"Allen County, IN",18,3,2020,March,3,10,108,,22.70%,
"Allen County, IN",18,3,2020,March,3,11,115,,16.20%,
"Allen County, IN",18,3,2020,March,3,12,"3,561",,3688.30%,
"Allen County, IN",18,3,2020,March,3,13,"9,950",,12992.10%,
"Allen County, IN",18,3,2020,April,4,14,"6,848",,7771.30%,
"Allen County, IN",18,3,2020,April,4,15,"6,005",,7223.20%,
"Allen County, IN",18,3,2020,April,4,16,"3,646",,5261.80%,
"Allen County, IN",18,3,2020,April,4,17,"3,020",,3926.70%,
"Allen County, IN",18,3,2020,May,5,18,"2,429",,2378.60%,
"Allen County, IN",18,3,2020,May,5,19,"1,816",,1734.30%,
"Allen County, IN",18,3,2020,May,5,20,"1,784",,2023.80%,
"Allen County, IN",18,3,2020,May,5,21,"1,556",,1752.40%,
"Allen County, IN",18,3,2020,May,5,22,"1,340",,1422.70%,
"Bartholomew County, IN",18,5,2020,January,1,1,33,,-15.40%,
"Bartholomew County, IN",18,5,2020,January,1,2,43,,-12.20%,
"Bartholomew County, IN",18,5,2020,January,1,3,26,,-25.70%,
"Bartholomew County, IN",18,5,2020,January,1,4,19,,-52.50%,
"Bartholomew County, IN",18,5,2020,February,2,5,27,,17.40%,
"Bartholomew County, IN",18,5,2020,February,2,6,26,,4.00%,
"Bartholomew County, IN",18,5,2020,February,2,7,18,,38.50%,
"Bartholomew County, IN",18,5,2020,February,2,8,25,,-16.70%,
"Bartholomew County, IN",18,5,2020,February,2,9,14,,-22.20%,
"Bartholomew County, IN",18,5,2020,March,3,10,13,,18.20%,
"Bartholomew County, IN",18,5,2020,March,3,11,17,,-5.60%,
"Bartholomew County, IN",18,5,2020,March,3,12,690,,4500.00%,
"Bartholomew County, IN",18,5,2020,March,3,13,"1,525",,9431.30%,
"Bartholomew County, IN",18,5,2020,April,4,14,"1,625",,11507.10%,
"Bartholomew County, IN",18,5,2020,April,4,15,"1,845",,13078.60%,
"Bartholomew County, IN",18,5,2020,April,4,16,"1,531",,7957.90%,
"Bartholomew County, IN",18,5,2020,April,4,17,"1,043",,6853.30%,
"Bartholomew County, IN",18,5,2020,May,5,18,559,,3892.90%,
"Bartholomew County, IN",18,5,2020,May,5,19,432,,4220.00%,
"Bartholomew County, IN",18,5,2020,May,5,20,338,,1678.90%,
"Bartholomew County, IN",18,5,2020,May,5,21,283,,1668.80%,
"Bartholomew County, IN",18,5,2020,May,5,22,241,,1621.40%,
"Benton County, IN",18,7,2020,January,1,1,,(D),,(D)
"Benton County, IN",18,7,2020,January,1,2,,(D),,(D)
"Benton County, IN",18,7,2020,January,1,3,,(D),,(D)
"Benton County, IN",18,7,2020,January,1,4,,(D),,(D)
"Benton County, IN",18,7,2020,February,2,5,,(D),,(D)
"Benton County, IN",18,7,2020,February,2,6,,(D),,(D)
"Benton County, IN",18,7,2020,February,2,7,,(D),,(D)
"Benton County, IN",18,7,2020,February,2,8,,(D),,(D)
"Benton County, IN",18,7,2020,February,2,9,,(D),,(D)
"Benton County, IN",18,7,2020,March,3,10,,(D),,(D)
"Benton County, IN",18,7,2020,March,3,12,30,,100.00%,
"Benton County, IN",18,7,2020,March,3,13,94,,100.00%,
"Benton County, IN",18,7,2020,April,4,14,122,,,
"Benton County, IN",18,7,2020,April,4,15,132,,100.00%,
"Benton County, IN",18,7,2020,April,4,16,89,,100.00%,
"Benton County, IN",18,7,2020,April,4,17,77,,100.00%,
"Benton County, IN",18,7,2020,May,5,18,30,,100.00%,
"Benton County, IN",18,7,2020,May,5,19,39,,100.00%,
"Benton County, IN",18,7,2020,May,5,20,23,,100.00%,
"Benton County, IN",18,7,2020,May,5,21,23,,100.00%,
"Benton County, IN",18,7,2020,May,5,22,19,,100.00%,
"Blackford County, IN",18,9,2020,January,1,1,,(D),,(D)
"Blackford County, IN",18,9,2020,January,1,2,10,,-9.10%,
"Blackford County, IN",18,9,2020,January,1,3,,(D),,(D)
"Blackford County, IN",18,9,2020,January,1,4,,(D),,(D)
"Blackford County, IN",18,9,2020,February,2,5,,(D),,(D)
"Blackford County, IN",18,9,2020,February,2,6,,(D),,(D)
"Blackford County, IN",18,9,2020,February,2,7,,(D),,(D)
"Blackford County, IN",18,9,2020,February,2,8,,(D),,(D)
"Blackford County, IN",18,9,2020,February,2,9,,(D),,(D)
"Blackford County, IN",18,9,2020,March,3,10,,(D),,(D)
"Blackford County, IN",18,9,2020,March,3,11,,(D),,(D)
"Blackford County, IN",18,9,2020,March,3,12,90,,100.00%,
"Blackford County, IN",18,9,2020,March,3,13,261,,100.00%,
"Blackford County, IN",18,9,2020,April,4,14,257,,100.00%,
"Blackford County, IN",18,9,2020,April,4,15,194,,100.00%,
"Blackford County, IN",18,9,2020,April,4,16,102,,100.00%,
"Blackford County, IN",18,9,2020,April,4,17,91,,100.00%,
"Blackford County, IN",18,9,2020,May,5,18,51,,,
"Blackford County, IN",18,9,2020,May,5,19,45,,100.00%,
"Blackford County, IN",18,9,2020,May,5,20,30,,100.00%,
"Blackford County, IN",18,9,2020,May,5,21,34,,100.00%,
"Blackford County, IN",18,9,2020,May,5,22,34,,100.00%,
"Boone County, IN",18,11,2020,January,1,1,16,,-50.00%,
"Boone County, IN",18,11,2020,January,1,2,26,,-27.80%,
"Boone County, IN",18,11,2020,January,1,3,17,,-5.60%,
"Boone County, IN",18,11,2020,January,1,4,13,,-13.30%,
"Boone County, IN",18,11,2020,February,2,5,27,,28.60%,
"Boone County, IN",18,11,2020,February,2,6,,(D),,(D)
"Boone County, IN",18,11,2020,February,2,7,19,,58.30%,
"Boone County, IN",18,11,2020,February,2,8,12,,,
"Boone County, IN",18,11,2020,February,2,9,14,,7.70%,
"Boone County, IN",18,11,2020,March,3,10,21,,100.00%,
"Boone County, IN",18,11,2020,March,3,11,14,,7.70%,
"Boone County, IN",18,11,2020,March,3,12,358,,100.00%,
"Boone County, IN",18,11,2020,March,3,13,599,,3643.80%,
"Boone County, IN",18,11,2020,April,4,14,670,,4685.70%,
"Boone County, IN",18,11,2020,April,4,15,699,,4560.00%,
"Boone County, IN",18,11,2020,April,4,16,462,,3453.80%,
"Boone County, IN",18,11,2020,April,4,17,400,,3233.30%,
"Boone County, IN",18,11,2020,May,5,18,352,,1855.60%,
"Boone County, IN",18,11,2020,May,5,19,212,,1827.30%,
"Boone County, IN",18,11,2020,May,5,20,222,,1607.70%,
"Boone County, IN",18,11,2020,May,5,21,174,,100.00%,
"Boone County, IN",18,11,2020,May,5,22,136,,655.60%,
"Brown County, IN",18,13,2020,January,1,1,,(D),,(D)
"Brown County, IN",18,13,2020,January,1,2,20,,17.60%,
"Brown County, IN",18,13,2020,January,1,3,,(D),,(D)
"Brown County, IN",18,13,2020,January,1,4,,(D),,(D)
"Brown County, IN",18,13,2020,February,2,5,,(D),,(D)
"Brown County, IN",18,13,2020,February,2,6,10,,100.00%,
"Brown County, IN",18,13,2020,February,2,7,,(D),,(D)
"Brown County, IN",18,13,2020,February,2,8,,(D),,(D)
"Brown County, IN",18,13,2020,February,2,9,,(D),,(D)
"Brown County, IN",18,13,2020,March,3,10,,(D),,(D)
"Brown County, IN",18,13,2020,March,3,11,,(D),,(D)
"Brown County, IN",18,13,2020,March,3,12,110,,100.00%,
"Brown County, IN",18,13,2020,March,3,13,236,,100.00%,
"Brown County, IN",18,13,2020,April,4,14,206,,100.00%,
"Brown County, IN",18,13,2020,April,4,15,248,,100.00%,
"Brown County, IN",18,13,2020,April,4,16,184,,100.00%,
"Brown County, IN",18,13,2020,April,4,17,154,,100.00%,
"Brown County, IN",18,13,2020,May,5,18,104,,100.00%,
"Brown County, IN",18,13,2020,May,5,19,63,,100.00%,
"Brown County, IN",18,13,2020,May,5,20,56,,100.00%,
"Brown County, IN",18,13,2020,May,5,21,42,,100.00%,
"Brown County, IN",18,13,2020,May,5,22,43,,100.00%,
"Carroll County, IN",18,15,2020,January,1,1,11,,-15.40%,
"Carroll County, IN",18,15,2020,January,1,2,11,,-26.70%,
"Carroll County, IN",18,15,2020,January,1,3,,(D),,(D)
"Carroll County, IN",18,15,2020,January,1,4,,(D),,(D)
"Carroll County, IN",18,15,2020,February,2,5,,(D),,(D)
"Carroll County, IN",18,15,2020,February,2,6,,(D),,(D)
"Carroll County, IN",18,15,2020,February,2,7,,(D),,(D)
"Carroll County, IN",18,15,2020,February,2,8,,(D),,(D)
"Carroll County, IN",18,15,2020,February,2,9,,(D),,(D)
"Carroll County, IN",18,15,2020,March,3,10,,(D),,(D)
"Carroll County, IN",18,15,2020,March,3,11,,(D),,(D)
"Carroll County, IN",18,15,2020,March,3,12,88,,100.00%,
"Carroll County, IN",18,15,2020,March,3,13,252,,100.00%,
"Carroll County, IN",18,15,2020,April,4,14,265,,2108.30%,
"Carroll County, IN",18,15,2020,April,4,15,416,,100.00%,
"Carroll County, IN",18,15,2020,April,4,16,230,,1816.70%,
"Carroll County, IN",18,15,2020,April,4,17,176,,100.00%,
"Carroll County, IN",18,15,2020,May,5,18,95,,100.00%,
"Carroll County, IN",18,15,2020,May,5,19,50,,100.00%,
"Carroll County, IN",18,15,2020,May,5,20,59,,100.00%,
"Carroll County, IN",18,15,2020,May,5,21,49,,100.00%,
"Carroll County, IN",18,15,2020,May,5,22,36,,100.00%,
"Cass County, IN",18,17,2020,January,1,1,26,,-7.10%,
"Cass County, IN",18,17,2020,January,1,2,35,,-5.40%,
"Cass County, IN",18,17,2020,January,1,3,21,,-36.40%,
"Cass County, IN",18,17,2020,January,1,4,12,,-40.00%,
"Cass County, IN",18,17,2020,February,2,5,22,,4.80%,
"Cass County, IN",18,17,2020,February,2,6,12,,-7.70%,
"Cass County, IN",18,17,2020,February,2,7,20,,100.00%,
"Cass County, IN",18,17,2020,February,2,8,12,,-40.00%,
"Cass County, IN",18,17,2020,February,2,9,12,,-29.40%,
"Cass County, IN",18,17,2020,March,3,10,12,,-25.00%,
"Cass County, IN",18,17,2020,March,3,11,22,,69.20%,
"Cass County, IN",18,17,2020,March,3,12,233,,1194.40%,
"Cass County, IN",18,17,2020,March,3,13,646,,2484.00%,
"Cass County, IN",18,17,2020,April,4,14,574,,655.30%,
"Cass County, IN",18,17,2020,April,4,15,627,,4378.60%,
"Cass County, IN",18,17,2020,April,4,16,337,,452.50%,
"Cass County, IN",18,17,2020,April,4,17,333,,1981.30%,
"Cass County, IN",18,17,2020,May,5,18,303,,1920.00%,
"Cass County, IN",18,17,2020,May,5,19,175,,1150.00%,
"Cass County, IN",18,17,2020,May,5,20,134,,100.00%,
"Cass County, IN",18,17,2020,May,5,21,116,,100.00%,
"Cass County, IN",18,17,2020,May,5,22,80,,566.70%,
"Clark County, IN",18,19,2020,January,1,1,34,,-52.10%,
"Clark County, IN",18,19,2020,January,1,2,46,,-40.30%,
"Clark County, IN",18,19,2020,January,1,3,41,,17.10%,
"Clark County, IN",18,19,2020,January,1,4,29,,-34.10%,
"Clark County, IN",18,19,2020,February,2,5,41,,36.70%,
"Clark County, IN",18,19,2020,February,2,6,35,,25.00%,
"Clark County, IN",18,19,2020,February,2,7,35,,34.60%,
"Clark County, IN",18,19,2020,February,2,8,26,,23.80%,
"Clark County, IN",18,19,2020,February,2,9,31,,40.90%,
"Clark County, IN",18,19,2020,March,3,10,29,,61.10%,
"Clark County, IN",18,19,2020,March,3,11,65,,282.40%,
"Clark County, IN",18,19,2020,March,3,12,"1,208",,9966.70%,
"Clark County, IN",18,19,2020,March,3,13,"2,056",,14585.70%,
"Clark County, IN",18,19,2020,April,4,14,"1,827",,8600.00%,
"Clark County, IN",18,19,2020,April,4,15,"1,907",,4440.50%,
"Clark County, IN",18,19,2020,April,4,16,"1,140",,7500.00%,
"Clark County, IN",18,19,2020,April,4,17,826,,3076.90%,
"Clark County, IN",18,19,2020,May,5,18,664,,3220.00%,
"Clark County, IN",18,19,2020,May,5,19,410,,3053.80%,
"Clark County, IN",18,19,2020,May,5,20,367,,2958.30%,
"Clark County, IN",18,19,2020,May,5,21,375,,1685.70%,
"Clark County, IN",18,19,2020,May,5,22,303,,1583.30%,
"Clay County, IN",18,21,2020,January,1,1,25,,-35.90%,
"Clay County, IN",18,21,2020,January,1,2,31,,6.90%,
"Clay County, IN",18,21,2020,January,1,3,19,,5.60%,
"Clay County, IN",18,21,2020,January,1,4,,(D),,(D)
"Clay County, IN",18,21,2020,February,2,5,14,,-6.70%,
"Clay County, IN",18,21,2020,February,2,6,,(D),,(D)
"Clay County, IN",18,21,2020,February,2,7,12,,,
"Clay County, IN",18,21,2020,February,2,8,12,,-25.00%,
"Clay County, IN",18,21,2020,February,2,9,12,,-73.90%,
"Clay County, IN",18,21,2020,March,3,10,15,,100.00%,
"Clay County, IN",18,21,2020,March,3,11,,(D),,(D)
"Clay County, IN",18,21,2020,March,3,12,156,,100.00%,
"Clay County, IN",18,21,2020,March,3,13,302,,2645.50%,
"Clay County, IN",18,21,2020,April,4,14,332,,100.00%,
"Clay County, IN",18,21,2020,April,4,15,344,,2193.30%,
"Clay County, IN",18,21,2020,April,4,16,204,,100.00%,
"Clay County, IN",18,21,2020,April,4,17,177,,1670.00%,
"Clay County, IN",18,21,2020,May,5,18,141,,840.00%,
"Clay County, IN",18,21,2020,May,5,19,79,,100.00%,
"Clay County, IN",18,21,2020,May,5,20,73,,100.00%,
"Clay County, IN",18,21,2020,May,5,21,74,,640.00%,
"Clay County, IN",18,21,2020,May,5,22,77,,600.00%,
"Clinton County, IN",18,23,2020,January,1,1,15,,36.40%,
"Clinton County, IN",18,23,2020,January,1,2,15,,-34.80%,
"Clinton County, IN",18,23,2020,January,1,3,14,,7.70%,
"Clinton County, IN",18,23,2020,January,1,4,,(D),,(D)
"Clinton County, IN",18,23,2020,February,2,5,11,,10.00%,
"Clinton County, IN",18,23,2020,February,2,6,,(D),,(D)
"Clinton County, IN",18,23,2020,February,2,7,12,,100.00%,
"Clinton County, IN",18,23,2020,February,2,8,,(D),,(D)
"Clinton County, IN",18,23,2020,February,2,9,,(D),,(D)
"Clinton County, IN",18,23,2020,March,3,10,,(D),,(D)
"Clinton County, IN",18,23,2020,March,3,11,,(D),,(D)
"Clinton County, IN",18,23,2020,March,3,12,156,,100.00%,
"Clinton County, IN",18,23,2020,March,3,13,496,,100.00%,
"Clinton County, IN",18,23,2020,April,4,14,489,,4790.00%,
"Clinton County, IN",18,23,2020,April,4,15,652,,100.00%,
"Clinton County, IN",18,23,2020,April,4,16,380,,100.00%,
"Clinton County, IN",18,23,2020,April,4,17,289,,100.00%,
"Clinton County, IN",18,23,2020,May,5,18,200,,100.00%,
"Clinton County, IN",18,23,2020,May,5,19,117,,,
"Clinton County, IN",18,23,2020,May,5,20,152,,100.00%,
"Clinton County, IN",18,23,2020,May,5,21,111,,100.00%,
"Clinton County, IN",18,23,2020,May,5,22,89,,100.00%,
"Crawford County, IN",18,25,2020,January,1,1,23,,64.30%,
"Crawford County, IN",18,25,2020,January,1,2,16,,,
"Crawford County, IN",18,25,2020,January,1,3,,(D),,(D)
"Crawford County, IN",18,25,2020,January,1,4,,(D),,(D)
"Crawford County, IN",18,25,2020,February,2,5,,(D),,(D)
"Crawford County, IN",18,25,2020,February,2,6,,(D),,(D)
"Crawford County, IN",18,25,2020,February,2,7,,(D),,(D)
"Crawford County, IN",18,25,2020,February,2,8,,(D),,
"Crawford County, IN",18,25,2020,February,2,9,,(D),,(D)
"Crawford County, IN",18,25,2020,March,3,11,,(D),,(D)
"Crawford County, IN",18,25,2020,March,3,12,59,,100.00%,
"Crawford County, IN",18,25,2020,March,3,13,172,,100.00%,
"Crawford County, IN",18,25,2020,April,4,14,175,,100.00%,
"Crawford County, IN",18,25,2020,April,4,15,165,,100.00%,
"Crawford County, IN",18,25,2020,April,4,16,104,,100.00%,
"Crawford County, IN",18,25,2020,April,4,17,76,,100.00%,
"Crawford County, IN",18,25,2020,May,5,18,57,,100.00%,
"Crawford County, IN",18,25,2020,May,5,19,34,,100.00%,
"Crawford County, IN",18,25,2020,May,5,20,36,,100.00%,
"Crawford County, IN",18,25,2020,May,5,21,46,,100.00%,
"Crawford County, IN",18,25,2020,May,5,22,39,,100.00%,
"Daviess County, IN",18,27,2020,January,1,1,,(D),,(D)
"Daviess County, IN",18,27,2020,January,1,2,14,,40.00%,
"Daviess County, IN",18,27,2020,January,1,3,12,,9.10%,
"Daviess County, IN",18,27,2020,January,1,4,13,,100.00%,
"Daviess County, IN",18,27,2020,February,2,5,,(D),,(D)
"Daviess County, IN",18,27,2020,February,2,6,,(D),,(D)
"Daviess County, IN",18,27,2020,February,2,7,,(D),,(D)
"Daviess County, IN",18,27,2020,February,2,8,15,,100.00%,
"Daviess County, IN",18,27,2020,February,2,9,,(D),,(D)
"Daviess County, IN",18,27,2020,March,3,10,,(D),,(D)
"Daviess County, IN",18,27,2020,March,3,11,,(D),,(D)
"Daviess County, IN",18,27,2020,March,3,12,115,,100.00%,
"Daviess County, IN",18,27,2020,March,3,13,273,,100.00%,
"Daviess County, IN",18,27,2020,April,4,14,201,,100.00%,
"Daviess County, IN",18,27,2020,April,4,15,224,,1766.70%,
"Daviess County, IN",18,27,2020,April,4,16,176,,100.00%,
"Daviess County, IN",18,27,2020,April,4,17,142,,100.00%,
"Daviess County, IN",18,27,2020,May,5,18,97,,100.00%,
"Daviess County, IN",18,27,2020,May,5,19,75,,100.00%,
"Daviess County, IN",18,27,2020,May,5,20,75,,100.00%,
"Daviess County, IN",18,27,2020,May,5,21,57,,100.00%,
"Daviess County, IN",18,27,2020,May,5,22,51,,363.60%,
"Dearborn County, IN",18,29,2020,January,1,1,21,,31.30%,
"Dearborn County, IN",18,29,2020,January,1,2,23,,-4.20%,
"Dearborn County, IN",18,29,2020,January,1,3,18,,-5.30%,
"Dearborn County, IN",18,29,2020,January,1,4,14,,100.00%,
"Dearborn County, IN",18,29,2020,February,2,5,17,,30.80%,
"Dearborn County, IN",18,29,2020,February,2,6,14,,100.00%,
"Dearborn County, IN",18,29,2020,February,2,7,,(D),,(D)
"Dearborn County, IN",18,29,2020,February,2,8,12,,100.00%,
"Dearborn County, IN",18,29,2020,February,2,9,11,,100.00%,
"Dearborn County, IN",18,29,2020,March,3,10,,(D),,(D)
"Dearborn County, IN",18,29,2020,March,3,11,17,,100.00%,
"Dearborn County, IN",18,29,2020,March,3,12,302,,100.00%,
"Dearborn County, IN",18,29,2020,March,3,13,411,,100.00%,
"Dearborn County, IN",18,29,2020,April,4,14,525,,100.00%,
"Dearborn County, IN",18,29,2020,April,4,15,500,,3746.20%,
"Dearborn County, IN",18,29,2020,April,4,16,358,,100.00%,
"Dearborn County, IN",18,29,2020,April,4,17,222,,100.00%,
"Dearborn County, IN",18,29,2020,May,5,18,195,,100.00%,
"Dearborn County, IN",18,29,2020,May,5,19,117,,1070.00%,
"Dearborn County, IN",18,29,2020,May,5,20,107,,100.00%,
"Dearborn County, IN",18,29,2020,May,5,21,109,,100.00%,
"Dearborn County, IN",18,29,2020,May,5,22,71,,100.00%,
"Decatur County, IN",18,31,2020,January,1,1,27,,-12.90%,
"Decatur County, IN",18,31,2020,January,1,2,19,,5.60%,
"Decatur County, IN",18,31,2020,January,1,3,14,,40.00%,
"Decatur County, IN",18,31,2020,January,1,4,,(D),,(D)
"Decatur County, IN",18,31,2020,February,2,5,11,,,
"Decatur County, IN",18,31,2020,February,2,6,12,,100.00%,
"Decatur County, IN",18,31,2020,February,2,7,,(D),,(D)
"Decatur County, IN",18,31,2020,February,2,8,16,,100.00%,
"Decatur County, IN",18,31,2020,February,2,9,,(D),,(D)
"Decatur County, IN",18,31,2020,March,3,10,,(D),,(D)
"Decatur County, IN",18,31,2020,March,3,11,,(D),,(D)
"Decatur County, IN",18,31,2020,March,3,12,240,,100.00%,
"Decatur County, IN",18,31,2020,March,3,13,629,,100.00%,
"Decatur County, IN",18,31,2020,April,4,14,802,,5628.60%,
"Decatur County, IN",18,31,2020,April,4,15,959,,100.00%,
"Decatur County, IN",18,31,2020,April,4,16,607,,100.00%,
"Decatur County, IN",18,31,2020,April,4,17,388,,100.00%,
"Decatur County, IN",18,31,2020,May,5,18,232,,100.00%,
"Decatur County, IN",18,31,2020,May,5,19,113,,100.00%,
"Decatur County, IN",18,31,2020,May,5,20,84,,100.00%,
"Decatur County, IN",18,31,2020,May,5,21,69,,100.00%,
"Decatur County, IN",18,31,2020,May,5,22,68,,100.00%,
"DeKalb County, IN",18,33,2020,January,1,1,28,,16.70%,
"DeKalb County, IN",18,33,2020,January,1,2,25,,25.00%,
"DeKalb County, IN",18,33,2020,January,1,3,23,,,
"DeKalb County, IN",18,33,2020,January,1,4,17,,-5.60%,
"DeKalb County, IN",18,33,2020,February,2,5,12,,-20.00%,
"DeKalb County, IN",18,33,2020,February,2,6,15,,-16.70%,
"DeKalb County, IN",18,33,2020,February,2,7,23,,,
"DeKalb County, IN",18,33,2020,February,2,8,39,,100.00%,
"DeKalb County, IN",18,33,2020,February,2,9,22,,69.20%,
"DeKalb County, IN",18,33,2020,March,3,10,,(D),,(D)
"DeKalb County, IN",18,33,2020,March,3,11,11,,100.00%,
"DeKalb County, IN",18,33,2020,March,3,12,382,,100.00%,
"DeKalb County, IN",18,33,2020,March,3,13,"1,366",,100.00%,
"DeKalb County, IN",18,33,2020,April,4,14,838,,7518.20%,
"DeKalb County, IN",18,33,2020,April,4,15,706,,5330.80%,
"DeKalb County, IN",18,33,2020,April,4,16,443,,4330.00%,
"DeKalb County, IN",18,33,2020,April,4,17,333,,1750.00%,
"DeKalb County, IN",18,33,2020,May,5,18,242,,100.00%,
"DeKalb County, IN",18,33,2020,May,5,19,169,,1026.70%,
"DeKalb County, IN",18,33,2020,May,5,20,181,,964.70%,
"DeKalb County, IN",18,33,2020,May,5,21,144,,657.90%,
"DeKalb County, IN",18,33,2020,May,5,22,115,,721.40%,
"Delaware County, IN",18,35,2020,January,1,1,102,,1.00%,
"Delaware County, IN",18,35,2020,January,1,2,93,,-3.10%,
"Delaware County, IN",18,35,2020,January,1,3,71,,6.00%,
"Delaware County, IN",18,35,2020,January,1,4,64,,-11.10%,
"Delaware County, IN",18,35,2020,February,2,5,57,,-14.90%,
"Delaware County, IN",18,35,2020,February,2,6,47,,17.50%,
"Delaware County, IN",18,35,2020,February,2,7,51,,13.30%,
"Delaware County, IN",18,35,2020,February,2,8,42,,40.00%,
"Delaware County, IN",18,35,2020,February,2,9,37,,32.10%,
"Delaware County, IN",18,35,2020,March,3,10,47,,56.70%,
"Delaware County, IN",18,35,2020,March,3,11,24,,,
"Delaware County, IN",18,35,2020,March,3,12,"1,010",,4490.90%,
"Delaware County, IN",18,35,2020,March,3,13,"2,148",,7571.40%,
"Delaware County, IN",18,35,2020,April,4,14,"1,696",,3938.10%,
"Delaware County, IN",18,35,2020,April,4,15,"1,565",,5919.20%,
"Delaware County, IN",18,35,2020,April,4,16,934,,2235.00%,
"Delaware County, IN",18,35,2020,April,4,17,720,,2471.40%,
"Delaware County, IN",18,35,2020,May,5,18,644,,2046.70%,
"Delaware County, IN",18,35,2020,May,5,19,405,,965.80%,
"Delaware County, IN",18,35,2020,May,5,20,419,,1209.40%,
"Delaware County, IN",18,35,2020,May,5,21,404,,1203.20%,
"Delaware County, IN",18,35,2020,May,5,22,364,,1248.10%,
"Dubois County, IN",18,37,2020,January,1,1,29,,38.10%,
"Dubois County, IN",18,37,2020,January,1,2,14,,-6.70%,
"Dubois County, IN",18,37,2020,January,1,3,17,,-26.10%,
"Dubois County, IN",18,37,2020,January,1,4,13,,-43.50%,
"Dubois County, IN",18,37,2020,February,2,5,14,,-12.50%,
"Dubois County, IN",18,37,2020,February,2,6,10,,-41.20%,
"Dubois County, IN",18,37,2020,February,2,7,23,,53.30%,
"Dubois County, IN",18,37,2020,February,2,8,14,,-17.60%,
"Dubois County, IN",18,37,2020,February,2,9,,(D),,(D)
"Dubois County, IN",18,37,2020,March,3,10,,(D),,(D)
"Dubois County, IN",18,37,2020,March,3,11,,(D),,(D)
"Dubois County, IN",18,37,2020,March,3,12,158,,100.00%,
"Dubois County, IN",18,37,2020,March,3,13,533,,100.00%,
"Dubois County, IN",18,37,2020,April,4,14,626,,100.00%,
"Dubois County, IN",18,37,2020,April,4,15,714,,5850.00%,
"Dubois County, IN",18,37,2020,April,4,16,491,,4363.60%,
"Dubois County, IN",18,37,2020,April,4,17,274,,100.00%,
"Dubois County, IN",18,37,2020,May,5,18,221,,100.00%,
"Dubois County, IN",18,37,2020,May,5,19,187,,100.00%,
"Dubois County, IN",18,37,2020,May,5,20,207,,1378.60%,
"Dubois County, IN",18,37,2020,May,5,21,195,,100.00%,
"Dubois County, IN",18,37,2020,May,5,22,138,,1280.00%,
"Elkhart County, IN",18,39,2020,January,1,1,228,,24.60%,
"Elkhart County, IN",18,39,2020,January,1,2,225,,43.30%,
"Elkhart County, IN",18,39,2020,January,1,3,225,,50.00%,
"Elkhart County, IN",18,39,2020,January,1,4,68,,-41.40%,
"Elkhart County, IN",18,39,2020,February,2,5,87,,-43.90%,
"Elkhart County, IN",18,39,2020,February,2,6,59,,-77.90%,
"Elkhart County, IN",18,39,2020,February,2,7,64,,-9.90%,
"Elkhart County, IN",18,39,2020,February,2,8,82,,9.30%,
"Elkhart County, IN",18,39,2020,February,2,9,70,,-41.70%,
"Elkhart County, IN",18,39,2020,March,3,10,81,,-37.20%,
"Elkhart County, IN",18,39,2020,March,3,11,50,,-32.40%,
"Elkhart County, IN",18,39,2020,March,3,12,"1,052",,1056.00%,
"Elkhart County, IN",18,39,2020,March,3,13,"9,844",,10837.80%,
