"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Oregon",41,"OR","Baker",41001,2020-01-04,1,1,2020,24
"Oregon",41,"OR","Benton",41003,2020-01-04,1,1,2020,90
"Oregon",41,"OR","Clackamas",41005,2020-01-04,1,1,2020,434
"Oregon",41,"OR","Clatsop",41007,2020-01-04,1,1,2020,56
"Oregon",41,"OR","Columbia",41009,2020-01-04,1,1,2020,94
"Oregon",41,"OR","Coos",41011,2020-01-04,1,1,2020,149
"Oregon",41,"OR","Crook",41013,2020-01-04,1,1,2020,69
"Oregon",41,"OR","Curry",41015,2020-01-04,1,1,2020,30
"Oregon",41,"OR","Deschutes",41017,2020-01-04,1,1,2020,248
"Oregon",41,"OR","Douglas",41019,2020-01-04,1,1,2020,274
"Oregon",41,"OR","Gilliam",41021,2020-01-04,1,1,2020,NA
"Oregon",41,"OR","Grant",41023,2020-01-04,1,1,2020,13
"Oregon",41,"OR","Harney",41025,2020-01-04,1,1,2020,9
"Oregon",41,"OR","Hood River",41027,2020-01-04,1,1,2020,33
"Oregon",41,"OR","Jackson",41029,2020-01-04,1,1,2020,543
"Oregon",41,"OR","Jefferson",41031,2020-01-04,1,1,2020,27
"Oregon",41,"OR","Josephine",41033,2020-01-04,1,1,2020,164
"Oregon",41,"OR","Klamath",41035,2020-01-04,1,1,2020,201
"Oregon",41,"OR","Lake",41037,2020-01-04,1,1,2020,15
"Oregon",41,"OR","Lane",41039,2020-01-04,1,1,2020,606
"Oregon",41,"OR","Lincoln",41041,2020-01-04,1,1,2020,77
"Oregon",41,"OR","Linn",41043,2020-01-04,1,1,2020,247
"Oregon",41,"OR","Malheur",41045,2020-01-04,1,1,2020,62
"Oregon",41,"OR","Marion",41047,2020-01-04,1,1,2020,577
"Oregon",41,"OR","Morrow",41049,2020-01-04,1,1,2020,24
"Oregon",41,"OR","Multnomah",41051,2020-01-04,1,1,2020,790
"Oregon",41,"OR","Polk",41053,2020-01-04,1,1,2020,155
"Oregon",41,"OR","Sherman",41055,2020-01-04,1,1,2020,6
"Oregon",41,"OR","Tillamook",41057,2020-01-04,1,1,2020,28
"Oregon",41,"OR","Umatilla",41059,2020-01-04,1,1,2020,196
"Oregon",41,"OR","Union",41061,2020-01-04,1,1,2020,70
"Oregon",41,"OR","Wallowa",41063,2020-01-04,1,1,2020,12
"Oregon",41,"OR","Wasco",41065,2020-01-04,1,1,2020,32
"Oregon",41,"OR","Washington",41067,2020-01-04,1,1,2020,444
"Oregon",41,"OR","Wheeler",41069,2020-01-04,1,1,2020,NA
"Oregon",41,"OR","Yamhill",41071,2020-01-04,1,1,2020,187
"Oregon",41,"OR","Baker",41001,2020-01-11,2,1,2020,27
"Oregon",41,"OR","Benton",41003,2020-01-11,2,1,2020,51
"Oregon",41,"OR","Clackamas",41005,2020-01-11,2,1,2020,433
"Oregon",41,"OR","Clatsop",41007,2020-01-11,2,1,2020,38
"Oregon",41,"OR","Columbia",41009,2020-01-11,2,1,2020,76
"Oregon",41,"OR","Coos",41011,2020-01-11,2,1,2020,57
"Oregon",41,"OR","Crook",41013,2020-01-11,2,1,2020,32
"Oregon",41,"OR","Curry",41015,2020-01-11,2,1,2020,39
"Oregon",41,"OR","Deschutes",41017,2020-01-11,2,1,2020,250
"Oregon",41,"OR","Douglas",41019,2020-01-11,2,1,2020,156
"Oregon",41,"OR","Gilliam",41021,2020-01-11,2,1,2020,NA
"Oregon",41,"OR","Grant",41023,2020-01-11,2,1,2020,10
"Oregon",41,"OR","Harney",41025,2020-01-11,2,1,2020,9
"Oregon",41,"OR","Hood River",41027,2020-01-11,2,1,2020,35
"Oregon",41,"OR","Jackson",41029,2020-01-11,2,1,2020,305
"Oregon",41,"OR","Jefferson",41031,2020-01-11,2,1,2020,42
"Oregon",41,"OR","Josephine",41033,2020-01-11,2,1,2020,86
"Oregon",41,"OR","Klamath",41035,2020-01-11,2,1,2020,122
"Oregon",41,"OR","Lake",41037,2020-01-11,2,1,2020,15
"Oregon",41,"OR","Lane",41039,2020-01-11,2,1,2020,390
"Oregon",41,"OR","Lincoln",41041,2020-01-11,2,1,2020,57
"Oregon",41,"OR","Linn",41043,2020-01-11,2,1,2020,158
"Oregon",41,"OR","Malheur",41045,2020-01-11,2,1,2020,36
"Oregon",41,"OR","Marion",41047,2020-01-11,2,1,2020,412
"Oregon",41,"OR","Morrow",41049,2020-01-11,2,1,2020,17
"Oregon",41,"OR","Multnomah",41051,2020-01-11,2,1,2020,785
"Oregon",41,"OR","Polk",41053,2020-01-11,2,1,2020,94
"Oregon",41,"OR","Sherman",41055,2020-01-11,2,1,2020,NA
"Oregon",41,"OR","Tillamook",41057,2020-01-11,2,1,2020,43
"Oregon",41,"OR","Umatilla",41059,2020-01-11,2,1,2020,125
"Oregon",41,"OR","Union",41061,2020-01-11,2,1,2020,51
"Oregon",41,"OR","Wallowa",41063,2020-01-11,2,1,2020,8
"Oregon",41,"OR","Wasco",41065,2020-01-11,2,1,2020,33
"Oregon",41,"OR","Washington",41067,2020-01-11,2,1,2020,433
"Oregon",41,"OR","Wheeler",41069,2020-01-11,2,1,2020,NA
"Oregon",41,"OR","Yamhill",41071,2020-01-11,2,1,2020,133
"Oregon",41,"OR","Baker",41001,2020-01-18,3,1,2020,19
"Oregon",41,"OR","Benton",41003,2020-01-18,3,1,2020,56
"Oregon",41,"OR","Clackamas",41005,2020-01-18,3,1,2020,351
"Oregon",41,"OR","Clatsop",41007,2020-01-18,3,1,2020,45
"Oregon",41,"OR","Columbia",41009,2020-01-18,3,1,2020,61
"Oregon",41,"OR","Coos",41011,2020-01-18,3,1,2020,76
"Oregon",41,"OR","Crook",41013,2020-01-18,3,1,2020,44
"Oregon",41,"OR","Curry",41015,2020-01-18,3,1,2020,43
"Oregon",41,"OR","Deschutes",41017,2020-01-18,3,1,2020,247
"Oregon",41,"OR","Douglas",41019,2020-01-18,3,1,2020,162
"Oregon",41,"OR","Gilliam",41021,2020-01-18,3,1,2020,NA
"Oregon",41,"OR","Grant",41023,2020-01-18,3,1,2020,14
"Oregon",41,"OR","Harney",41025,2020-01-18,3,1,2020,14
"Oregon",41,"OR","Hood River",41027,2020-01-18,3,1,2020,52
"Oregon",41,"OR","Jackson",41029,2020-01-18,3,1,2020,314
"Oregon",41,"OR","Jefferson",41031,2020-01-18,3,1,2020,34
"Oregon",41,"OR","Josephine",41033,2020-01-18,3,1,2020,78
"Oregon",41,"OR","Klamath",41035,2020-01-18,3,1,2020,140
"Oregon",41,"OR","Lake",41037,2020-01-18,3,1,2020,NA
"Oregon",41,"OR","Lane",41039,2020-01-18,3,1,2020,357
"Oregon",41,"OR","Lincoln",41041,2020-01-18,3,1,2020,68
